iter	RMSE
0	10.62459915
1	10.44064378
2	10.43824312
3	10.41878929
4	10.41878855
5	10.41878818
6	10.41878799
7	10.40241756
8	10.3034653
9	10.30345587
10	10.30345471
11	10.30345413
12	10.30345385
13	10.3034537
14	10.2774632
15	10.26060494
16	10.26060202
17	10.21090092
18	10.20723081
19	10.20722985
20	10.19471815
21	10.18757618
22	10.14704293
23	10.14702437
24	10.13756903
25	10.13756513
26	10.13756318
27	10.13025575
28	10.12188373
29	10.08666715
30	10.07722044
31	10.07721871
32	10.07721785
33	10.07511144
34	10.07511144
35	10.0726264
36	10.07079767
37	10.07079611
38	10.07079533
39	10.06168163
40	10.05996125
41	10.05867914
42	10.05041898
43	10.05041825
44	10.03174682
45	10.02532194
46	10.02532178
47	10.02230367
48	10.02230323
49	10.0167895
50	10.01678937
51	10.0151215
52	10.01483113
53	10.01443163
54	10.01413707
55	10.01413707
56	10.01413707
57	10.01051747
58	10.01025655
59	10.0102564
60	10.01025633
61	10.01025629
62	10.0100886
63	10.0098799
64	10.00905375
65	10.00905374
66	10.00622995
67	10.00622994
68	10.00611636
69	10.00601343
70	10.00601343
71	10.00556143
72	10.00374252
73	10.00331689
74	10.00331687
75	10.00331686
76	10.00323916
77	10.00316807
78	10.00309961
79	10.00309959
80	10.00309958
81	10.0030302
82	10.00296569
83	10.00181062
84	10.00181062
85	10.00173157
86	10.00173156
87	10.00152582
88	10.00117789
89	10.00117786
90	10.00117784
91	10.00117784
92	10.00112245
93	10.00112242
94	10.00112241
95	10.0011224
96	10.00105171
97	10.00105171
98	10.00105171
99	10.00101036
100	10.00101035
101	10.00069555
102	10.00064293
103	10.00031946
104	10.00015165
105	10.00015165
106	10.00010968
107	10.00010968
108	10.00010968
109	10.00010968
110	10.00010968
111	10.00010968
112	10.00010968
113	10.00010968
114	10.00010968
115	9.999807098
116	9.99977871
117	9.999778662
118	9.999361051
119	9.999361011
120	9.999360992
121	9.999360982
122	9.999360977
123	9.999333309
124	9.99895548
125	9.998939394
126	9.998939383
127	9.998693322
128	9.998673491
129	9.998673489
130	9.998656166
131	9.99831627
132	9.998316248
133	9.998301331
134	9.998301313
135	9.998159523
136	9.998159516
137	9.998145752
138	9.998145751
139	9.998145751
140	9.998135711
141	9.998135707
142	9.998135706
143	9.998081555
144	9.998070113
145	9.998014373
146	9.998014373
147	9.997938285
148	9.997794608
149	9.997725594
150	9.997725586
151	9.997717367
152	9.997649804
153	9.997649803
154	9.997649803
155	9.997649803
156	9.997649803
157	9.997649803
158	9.997649803
159	9.997618615
160	9.99761861
161	9.997618608
162	9.997583854
163	9.997532095
164	9.997528852
165	9.997498284
166	9.997474868
167	9.997434501
168	9.99742741
169	9.997427408
170	9.997404765
171	9.997400541
172	9.997400541
173	9.997400541
174	9.997400541
175	9.997400541
176	9.99739306
177	9.997393059
178	9.997386419
179	9.997386419
