iter	Passed	Remaining
0	4	4070
1	5	2725
2	6	2271
3	8	2038
4	9	1892
5	10	1744
6	11	1683
7	13	1638
8	14	1607
9	17	1744
10	21	1925
11	25	2063
12	26	2025
13	27	1962
14	30	1983
15	31	1941
16	32	1901
17	35	1910
18	38	2007
19	42	2072
20	45	2116
21	46	2083
22	48	2049
23	49	2020
24	51	1992
25	52	1965
26	53	1940
27	55	1918
28	56	1896
29	58	1876
30	59	1860
31	61	1860
32	62	1844
33	64	1829
34	65	1814
35	67	1798
36	68	1784
37	70	1773
38	71	1761
39	72	1749
40	74	1736
41	75	1727
42	77	1716
43	78	1705
44	79	1693
45	81	1684
46	82	1674
47	83	1665
48	85	1657
49	86	1649
50	88	1641
51	89	1634
52	91	1627
53	92	1619
54	93	1612
55	95	1604
56	96	1598
57	98	1591
58	99	1584
59	100	1572
60	101	1566
61	103	1562
62	104	1561
63	106	1557
64	107	1552
65	109	1547
66	112	1561
67	116	1591
68	120	1629
69	122	1629
70	124	1628
71	125	1622
72	127	1615
73	128	1609
74	129	1603
75	131	1597
76	132	1592
77	134	1587
78	135	1581
79	136	1575
80	138	1570
81	139	1565
82	141	1560
83	142	1554
84	143	1549
85	145	1544
86	146	1540
87	148	1535
88	149	1531
89	150	1526
90	152	1522
91	153	1519
92	155	1514
93	156	1510
94	158	1506
95	159	1502
96	160	1491
97	161	1487
98	162	1482
99	164	1478
100	165	1475
101	167	1471
102	168	1467
103	169	1463
104	171	1459
105	172	1455
106	173	1451
107	175	1448
108	176	1444
109	178	1441
110	179	1437
111	180	1434
112	182	1432
113	184	1430
114	185	1427
115	186	1423
116	188	1420
117	190	1426
118	194	1438
119	199	1462
120	201	1464
121	203	1461
122	204	1458
123	205	1454
124	207	1451
125	208	1447
126	210	1444
127	211	1441
128	213	1438
129	214	1435
130	215	1432
131	217	1428
132	218	1425
133	220	1422
134	221	1418
135	222	1415
136	224	1412
137	225	1409
138	227	1406
139	228	1403
140	230	1401
141	231	1398
