iter	Passed	Remaining
0	0	221
1	0	217
2	0	196
3	0	184
4	0	162
5	0	147
6	0	136
7	1	137
8	1	141
9	1	141
10	1	135
11	1	129
12	1	123
13	1	119
14	1	121
15	1	122
16	2	119
17	2	125
18	2	126
19	2	123
20	2	124
21	2	124
22	3	127
23	3	125
24	3	125
25	3	123
26	3	121
27	3	121
28	3	122
29	3	125
30	4	126
31	4	124
32	4	122
33	4	122
34	4	121
35	4	121
36	4	121
37	4	120
38	4	119
39	5	120
40	5	120
41	5	121
42	5	122
43	5	120
44	5	125
45	6	127
46	6	125
47	6	126
48	6	125
49	6	126
50	6	124
51	6	125
52	7	125
53	7	125
54	7	125
55	7	124
56	7	123
57	7	124
58	7	124
59	7	123
60	7	122
61	8	121
62	8	121
63	8	121
64	8	122
65	8	121
66	8	122
67	8	121
68	9	121
69	9	121
70	9	121
71	9	121
72	9	123
73	9	123
74	9	122
75	10	121
76	10	121
77	10	121
78	10	121
79	10	120
80	10	119
81	10	120
82	10	120
83	11	121
84	11	120
85	11	120
86	11	119
87	11	120
88	11	120
89	11	119
90	11	118
91	11	118
92	12	118
93	12	117
94	12	116
95	12	116
96	12	116
97	12	115
98	12	114
99	12	114
100	12	114
101	12	114
102	13	114
103	13	114
104	13	115
105	13	114
106	13	114
107	13	113
108	13	113
109	13	112
110	14	112
111	14	111
112	14	110
113	14	110
114	14	109
115	14	109
116	14	109
117	14	109
118	14	110
119	14	109
120	14	108
121	15	108
122	15	107
123	15	107
124	15	108
125	15	108
126	15	107
127	15	108
128	16	108
129	16	108
130	16	108
131	16	108
132	16	108
133	16	108
134	16	107
135	17	108
136	17	107
137	17	107
138	17	107
139	17	106
140	17	106
141	17	106
142	17	106
143	17	106
144	18	106
145	18	106
146	18	106
147	18	106
148	18	106
149	18	107
150	18	106
151	19	106
152	19	107
153	19	106
154	19	106
155	19	106
156	19	105
157	19	105
158	19	104
159	19	104
160	20	104
161	20	103
162	20	103
163	20	104
164	20	104
165	20	104
166	21	104
167	21	105
168	21	105
169	21	105
170	21	105
171	22	106
172	22	105
173	22	105
174	22	104
175	22	104
176	22	104
177	22	104
178	22	104
179	22	103
180	22	103
181	22	102
182	22	102
183	23	102
184	23	102
185	23	102
186	23	101
187	23	101
188	23	101
189	23	101
190	23	100
191	23	100
192	24	101
193	24	100
194	24	100
195	24	100
196	24	101
197	24	100
198	24	100
199	24	99
200	25	99
201	25	99
202	25	99
203	25	98
204	25	98
