iter	Passed	Remaining
0	1	1614
1	3	1513
2	4	1467
3	5	1445
4	7	1423
5	8	1352
6	9	1353
7	10	1348
8	12	1365
9	13	1364
10	15	1362
11	16	1362
12	18	1369
13	20	1422
14	22	1501
15	25	1567
16	28	1656
17	30	1642
18	31	1622
19	32	1604
20	34	1590
21	35	1576
22	36	1562
23	38	1550
24	40	1562
25	41	1554
26	42	1546
27	44	1536
28	45	1525
29	46	1516
30	48	1508
31	49	1500
32	50	1492
33	52	1484
34	53	1477
35	54	1472
36	56	1467
37	57	1462
38	59	1455
39	60	1450
40	61	1445
41	63	1440
42	64	1435
43	65	1431
44	67	1426
45	68	1423
46	70	1420
47	71	1417
48	72	1413
49	74	1410
50	75	1406
51	76	1403
52	78	1399
53	79	1395
54	81	1392
55	82	1388
56	83	1385
57	85	1382
58	86	1381
59	87	1374
60	89	1372
61	90	1371
62	92	1369
63	93	1367
64	94	1366
65	96	1364
66	97	1362
67	100	1372
68	102	1384
69	104	1392
70	107	1400
71	108	1403
72	110	1400
73	111	1397
74	113	1394
75	114	1392
76	115	1389
77	117	1391
78	119	1392
79	120	1389
80	122	1386
81	123	1383
82	124	1380
83	126	1377
84	127	1373
85	129	1371
86	130	1369
87	131	1366
88	133	1363
89	134	1361
90	136	1358
91	137	1356
92	138	1353
93	140	1351
94	141	1348
95	142	1346
96	143	1336
97	144	1333
98	146	1332
99	147	1329
100	149	1328
101	150	1326
102	152	1324
103	153	1322
104	154	1319
105	156	1317
106	157	1315
107	158	1312
108	160	1310
109	161	1308
110	163	1306
111	164	1304
112	165	1302
113	167	1300
114	168	1298
115	170	1297
116	171	1295
117	173	1293
118	174	1291
119	175	1290
120	179	1300
121	181	1306
122	184	1312
123	186	1316
124	187	1313
125	189	1311
126	190	1309
127	191	1307
128	193	1305
129	194	1303
130	196	1304
131	198	1302
132	199	1300
133	200	1297
134	202	1295
135	203	1293
136	204	1290
137	206	1288
138	207	1286
139	209	1284
140	210	1281
141	211	1279
142	213	1277
143	214	1275
144	215	1272
145	217	1270
146	218	1268
147	220	1266
148	221	1265
149	222	1263
150	224	1261
151	225	1259
152	227	1257
153	228	1255
154	229	1253
155	231	1251
156	232	1249
157	234	1248
158	235	1246
159	237	1244
160	238	1242
161	241	1247
162	244	1253
163	246	1258
164	249	1262
165	251	1262
166	252	1260
167	254	1258
168	255	1255
169	256	1253
170	258	1253
171	260	1252
172	261	1250
173	262	1248
174	264	1245
175	265	1243
176	266	1241
177	268	1238
178	269	1236
179	271	1234
180	272	1232
181	273	1230
182	275	1228
183	276	1226
184	278	1225
185	279	1223
186	280	1220
187	282	1218
188	283	1216
189	284	1214
190	286	1212
191	287	1210
192	289	1208
193	290	1207
194	291	1205
195	293	1204
196	295	1202
197	296	1201
198	297	1199
199	299	1197
200	301	1197
201	304	1202
202	306	1203
203	308	1205
204	310	1205
205	312	1203
206	313	1201
207	315	1200
208	316	1198
209	317	1195
210	319	1193
211	321	1194
212	322	1192
213	324	1190
214	325	1188
215	326	1186
216	328	1184
217	330	1185
218	332	1186
219	334	1186
220	337	1189
221	339	1189
222	341	1188
223	342	1186
224	343	1184
225	345	1182
226	346	1180
227	348	1178
228	349	1176
229	350	1175
230	352	1175
231	354	1173
232	355	1171
233	357	1169
234	358	1167
235	359	1165
236	361	1163
237	362	1161
238	364	1159
239	365	1157
240	366	1155
241	368	1154
