iter	RMSE
0	95.99385386
1	93.55022564
2	91.17805405
3	89.27607245
4	87.53386413
5	85.57392761
6	83.85431106
7	81.9295336
8	80.11037244
9	78.35636347
10	76.66827128
11	75.17928255
12	73.39218163
13	72.19617912
14	70.5888486
15	69.12075544
16	67.69192032
17	66.29300028
18	64.98265486
19	63.70587554
20	62.4754342
21	61.23344932
22	59.93117824
23	58.48299009
24	57.45738176
25	56.23054377
26	55.26045502
27	54.30929045
28	53.04224671
29	52.27462085
30	51.21011643
31	50.17877162
32	49.32847331
33	48.37378242
34	47.30797188
35	46.42033968
36	45.55068798
37	44.95258137
38	44.15845861
39	43.3974498
40	42.64683541
41	41.9735892
42	41.12438783
43	40.44647147
44	39.76291032
45	39.18122373
46	38.75416168
47	38.02153924
48	37.61976463
49	36.92815797
50	36.25032595
51	35.60185039
52	35.20203487
53	34.79156439
54	34.18562022
55	33.71069232
56	33.36932334
57	32.8120123
58	32.41164094
59	31.97921283
60	31.57462369
61	31.07795426
62	30.63258126
63	30.35404603
64	29.99967898
65	29.65197018
66	29.28416358
67	28.86731102
68	28.45783719
69	28.06607875
70	27.68697009
71	27.32182488
72	27.01723905
73	26.72522111
74	26.44169369
75	26.12471
76	25.87266917
77	25.58246857
78	25.35428174
79	25.12846799
80	24.89285043
81	24.71784863
82	24.52270464
83	24.37454008
84	24.25679215
85	23.98802826
86	23.73165578
87	23.58082467
88	23.4035315
89	23.16866703
90	22.98536638
91	22.76401525
92	22.61723111
93	22.4413653
94	22.17454426
95	21.99268239
96	21.84157747
97	21.74454513
98	21.50316008
99	21.27294428
100	21.15898292
101	20.94173069
102	20.73470408
103	20.60037864
104	20.49117381
105	20.38895693
106	20.19870469
107	20.0175768
108	19.89936664
109	19.76531928
110	19.66248715
111	19.49851921
112	19.40954516
113	19.31149326
114	19.15909975
115	19.01422286
116	18.87653693
117	18.74572666
118	18.6860826
119	18.58153346
120	18.47931878
121	18.39984899
122	18.31272319
123	18.23170582
124	18.11652713
125	18.02874346
126	17.96185255
127	17.87291057
128	17.79421455
129	17.73825808
130	17.65061684
131	17.57549268
132	17.48108309
133	17.41205662
134	17.36038996
135	17.2899841
136	17.20236791
137	17.13054938
138	17.06350435
139	17.00524239
140	16.94660682
141	16.87256829
142	16.81574361
143	16.73714641
144	16.67085646
145	16.62438425
146	16.56032273
147	16.49684542
148	16.44143977
149	16.39458637
150	16.34550826
151	16.31264782
152	16.2769868
153	16.23871978
154	16.19833894
155	16.14106134
156	16.09366984
157	16.05002757
158	16.00159259
159	15.9503064
160	15.90608162
161	15.84601722
162	15.79722105
163	15.75276801
164	15.70413292
165	15.67335532
166	15.62277782
167	15.55171272
168	15.4809248
169	15.42822187
170	15.38057869
171	15.34374324
172	15.30236968
173	15.23958793
174	15.19497841
175	15.14788314
176	15.11230761
177	15.06759209
178	15.00785581
179	14.97563228
180	14.93051453
181	14.88884338
182	14.84824808
183	14.7971068
184	14.75410816
185	14.71843684
186	14.69373783
187	14.65155686
188	14.62187901
189	14.59772012
190	14.56470277
191	14.52880392
192	14.50506771
193	14.4565026
194	14.42158853
195	14.37233343
196	14.33583853
197	14.30603201
198	14.28766699
199	14.258955
200	14.20437294
201	14.16907933
202	14.13801041
203	14.09367215
204	14.06901932
205	14.03258594
206	14.0117172
207	13.98718875
208	13.95020441
209	13.90477873
210	13.84307956
211	13.81983744
212	13.79988094
213	13.76772411
214	13.74803916
215	13.71798326
216	13.6822181
217	13.65160196
218	13.61134582
219	13.58043457
220	13.55319025
221	13.52913919
222	13.49839997
223	13.48002197
224	13.45689047
225	13.43146664
226	13.39336811
227	13.36448324
228	13.3084838
229	13.2659877
230	13.2238056
231	13.19880488
232	13.15972791
233	13.12376601
234	13.0789533
235	13.04776636
236	13.0207964
237	12.9940388
238	12.9713386
239	12.94570857
240	12.92374233
241	12.89588632
242	12.86607661
243	12.84534272
244	12.80644784
245	12.78161462
246	12.7491468
247	12.72719536
248	12.69497702
249	12.67317032
250	12.6407852
251	12.62343348
