iter	Passed	Remaining
0	14	14629
1	16	8159
2	18	6016
3	19	4911
4	21	4287
5	23	3838
6	24	3519
7	26	3278
8	28	3095
9	29	2947
10	31	2820
11	33	2720
12	34	2632
13	36	2566
14	38	2501
15	39	2442
16	41	2395
17	43	2350
18	44	2311
19	46	2270
20	47	2234
21	49	2208
22	51	2187
23	53	2173
24	55	2152
25	57	2136
26	58	2125
27	60	2104
28	62	2084
29	64	2071
30	69	2178
31	73	2230
32	77	2265
33	79	2244
34	80	2224
35	82	2205
36	84	2190
37	87	2218
38	90	2233
39	93	2243
40	95	2226
41	96	2206
42	98	2190
43	100	2181
44	102	2166
45	103	2151
46	105	2136
47	106	2121
48	108	2107
49	110	2094
50	112	2084
51	113	2073
52	115	2066
53	117	2056
54	118	2044
55	120	2032
56	122	2020
57	123	2009
58	125	1999
59	127	1990
60	128	1980
61	130	1973
62	132	1968
63	134	1961
64	136	1958
65	138	1953
66	139	1948
67	141	1940
68	143	1935
69	150	1996
70	155	2032
71	158	2038
72	159	2031
73	161	2024
74	163	2017
75	166	2027
76	169	2034
77	172	2038
78	174	2028
79	175	2021
80	177	2014
81	179	2009
82	181	2002
83	183	1995
84	184	1988
85	186	1981
86	188	1973
87	189	1966
88	191	1961
89	193	1956
90	195	1951
91	197	1944
92	199	1941
93	200	1934
94	202	1928
95	204	1922
96	208	1941
97	213	1962
98	217	1980
99	219	1974
100	221	1969
101	222	1962
102	224	1956
103	226	1952
104	229	1955
105	232	1958
106	235	1961
107	236	1955
108	238	1948
109	240	1942
110	241	1938
111	243	1931
112	245	1925
113	246	1919
114	248	1913
115	250	1908
116	252	1902
117	253	1897
118	255	1892
119	257	1889
120	259	1885
121	261	1880
122	262	1874
123	264	1869
124	266	1864
125	268	1859
126	269	1855
127	271	1849
128	273	1847
129	275	1843
130	277	1838
131	279	1835
132	280	1831
133	282	1826
134	284	1823
135	288	1835
136	293	1851
137	298	1864
138	300	1859
139	301	1854
140	303	1849
141	305	1848
142	308	1851
143	312	1856
144	315	1858
145	316	1853
146	318	1849
147	320	1846
148	322	1842
149	324	1837
150	326	1833
151	327	1828
152	329	1823
153	331	1818
154	332	1814
155	334	1811
156	337	1809
157	338	1805
158	340	1801
159	342	1799
160	344	1795
161	346	1791
162	347	1786
163	351	1791
164	356	1805
165	361	1815
166	363	1812
167	365	1808
168	367	1805
169	370	1808
170	373	1812
171	376	1812
172	378	1808
173	379	1803
174	381	1799
175	383	1796
176	385	1792
177	387	1789
178	389	1785
179	391	1782
180	393	1778
181	394	1774
182	396	1771
183	399	1769
184	401	1766
185	403	1763
186	405	1761
187	406	1757
188	408	1753
189	410	1749
190	414	1757
191	420	1768
192	424	1775
193	426	1770
194	428	1766
195	430	1764
196	433	1767
197	437	1770
198	440	1773
199	445	1782
200	449	1787
201	453	1790
202	454	1785
203	456	1781
204	458	1778
205	460	1775
206	463	1775
207	466	1777
208	469	1778
209	471	1774
210	473	1770
211	475	1766
212	477	1763
213	478	1759
214	480	1756
215	483	1753
216	484	1749
217	486	1745
218	488	1742
219	494	1752
220	498	1756
221	501	1759
222	503	1754
223	505	1750
224	507	1747
225	510	1748
226	513	1748
227	516	1749
228	518	1745
229	520	1741
230	521	1737
231	523	1733
232	525	1728
233	526	1724
234	528	1720
235	530	1716
236	531	1712
237	533	1708
238	535	1704
239	537	1700
240	539	1698
241	541	1694
242	542	1690
243	544	1687
244	546	1684
245	548	1680
246	550	1677
247	555	1684
248	559	1686
249	563	1689
250	564	1685
251	566	1681
252	568	1677
253	570	1674
254	573	1674
255	576	1674
256	579	1675
257	581	1671
258	582	1667
259	584	1663
260	586	1660
261	588	1656
262	589	1652
263	591	1649
264	593	1645
265	595	1641
266	596	1638
267	598	1634
268	600	1631
269	602	1627
270	603	1624
271	605	1620
272	607	1617
273	609	1613
274	610	1610
275	612	1606
276	614	1603
277	616	1599
278	618	1597
279	619	1593
280	621	1590
281	623	1587
282	625	1584
283	627	1580
284	628	1577
285	634	1582
286	638	1585
287	642	1587
288	643	1584
289	645	1580
290	647	1576
291	649	1573
292	651	1572
293	654	1571
294	657	1570
295	659	1568
296	661	1564
297	662	1561
298	664	1558
299	666	1554
300	667	1551
301	669	1547
302	671	1544
303	673	1541
304	674	1537
305	676	1534
306	678	1531
307	680	1528
308	682	1525
309	683	1522
